iter	Passed	Remaining
0	180	180705
1	186	92976
2	191	63566
3	195	48803
4	202	40236
5	207	34440
6	212	30201
7	215	26749
8	217	23979
9	219	21758
10	221	19934
11	223	18388
12	225	17090
13	226	15985
14	228	14988
15	229	14135
16	231	13362
17	232	12677
18	233	12051
19	234	11492
20	235	10984
21	236	10524
22	238	10114
23	239	9728
24	240	9373
25	241	9038
26	242	8729
27	243	8441
28	244	8173
29	245	7924
30	245	7687
31	246	7464
32	247	7257
33	248	7062
34	249	6877
35	250	6703
36	251	6537
37	252	6380
38	253	6235
39	253	6092
40	254	5961
41	255	5830
42	256	5705
43	257	5586
44	257	5474
45	258	5368
46	259	5266
47	260	5168
48	261	5075
49	262	4983
50	263	4894
51	263	4810
52	264	4730
53	265	4652
54	266	4579
55	267	4511
56	268	4441
57	269	4377
58	270	4311
59	271	4246
60	271	4184
61	272	4125
62	273	4066
63	274	4009
64	274	3954
65	275	3901
66	276	3848
67	277	3799
68	277	3750
69	278	3702
70	279	3655
71	280	3611
72	281	3570
73	282	3529
74	282	3490
75	283	3450
76	284	3411
77	285	3374
78	286	3337
79	287	3300
80	287	3265
81	288	3230
82	289	3193
83	289	3160
84	290	3127
85	291	3096
86	292	3067
87	293	3038
88	294	3010
89	294	2982
90	295	2956
91	296	2930
92	297	2903
93	298	2878
94	299	2853
95	300	2827
96	301	2802
97	301	2777
98	302	2753
99	303	2729
100	304	2707
101	304	2684
102	306	2665
103	306	2644
104	307	2623
105	308	2602
106	309	2581
107	310	2562
108	311	2543
109	312	2526
110	313	2508
111	314	2490
112	314	2471
113	315	2453
114	316	2437
115	317	2420
116	318	2402
117	319	2385
118	320	2369
119	320	2353
120	321	2338
121	322	2322
122	323	2307
123	324	2292
124	325	2277
125	326	2264
126	327	2248
127	328	2235
128	328	2221
129	329	2206
130	330	2192
131	331	2178
132	332	2164
133	332	2150
134	333	2137
135	334	2124
136	335	2111
137	335	2098
138	336	2086
139	337	2073
140	338	2060
141	338	2047
142	339	2034
143	340	2024
144	341	2014
145	342	2002
146	343	1992
147	344	1980
148	344	1969
149	345	1958
150	346	1947
151	347	1936
152	347	1926
153	348	1915
154	349	1905
155	350	1895
156	351	1884
157	351	1874
158	352	1865
159	353	1855
160	353	1844
161	354	1835
162	355	1826
163	356	1817
164	357	1809
165	358	1800
166	359	1791
167	359	1782
168	360	1773
169	361	1765
170	362	1757
171	363	1749
172	364	1741
173	365	1732
174	365	1724
175	366	1716
176	367	1708
177	368	1700
178	368	1692
179	369	1685
180	370	1678
181	371	1670
182	372	1664
183	373	1656
184	374	1649
185	375	1641
186	375	1634
187	376	1627
188	377	1619
189	378	1611
190	378	1604
191	379	1597
192	380	1590
193	381	1583
194	381	1576
195	382	1570
196	383	1564
197	384	1557
198	385	1551
199	386	1545
200	387	1539
201	388	1534
202	389	1528
203	390	1522
204	391	1517
205	392	1511
206	392	1505
207	393	1499
208	394	1493
209	395	1488
210	396	1483
211	397	1478
212	398	1473
213	399	1467
214	400	1463
215	404	1469
216	405	1463
217	406	1458
218	407	1452
219	408	1447
220	409	1441
221	409	1436
222	410	1431
223	411	1425
224	412	1420
225	413	1417
226	414	1412
227	415	1408
228	416	1403
229	417	1399
230	418	1394
231	419	1389
232	420	1384
233	421	1379
234	422	1374
235	422	1369
236	423	1364
237	424	1360
238	425	1356
239	427	1352
240	428	1349
241	429	1345
242	430	1341
243	432	1338
244	432	1334
245	434	1332
246	435	1327
247	436	1323
248	437	1318
249	438	1314
250	438	1309
251	439	1304
252	440	1300
253	441	1296
254	442	1292
255	443	1288
256	444	1285
257	445	1281
258	447	1278
259	448	1275
260	449	1271
261	449	1267
262	450	1263
263	451	1259
264	452	1254
265	453	1250
266	454	1246
267	455	1242
268	455	1238
269	456	1235
270	457	1231
271	459	1229
272	460	1226
273	462	1224
274	463	1221
275	464	1217
276	464	1213
277	465	1209
278	466	1205
279	467	1201
280	468	1197
281	468	1194
282	469	1190
283	470	1186
284	471	1182
285	472	1180
286	474	1177
287	474	1174
288	476	1172
289	477	1169
290	478	1165
291	479	1162
292	480	1158
293	481	1155
294	482	1152
295	482	1148
296	483	1144
297	484	1141
298	485	1138
299	486	1134
300	487	1131
301	490	1132
302	490	1129
303	492	1127
304	493	1124
305	494	1120
306	494	1117
307	495	1113
308	496	1110
309	497	1106
310	498	1103
311	499	1100
312	499	1097
313	500	1094
314	501	1091
315	503	1090
316	504	1087
317	506	1085
318	507	1083
319	508	1079
320	508	1076
321	509	1073
322	510	1069
323	511	1066
324	512	1063
325	512	1060
326	513	1057
327	514	1054
328	515	1051
329	516	1048
330	517	1046
331	519	1044
332	519	1041
333	521	1040
334	522	1037
335	523	1034
336	524	1031
337	525	1028
338	525	1025
339	526	1022
340	527	1019
341	528	1016
342	529	1013
343	529	1010
344	530	1007
345	531	1004
346	534	1005
347	535	1002
348	535	999
349	537	997
350	538	995
351	539	992
352	539	989
353	540	986
354	541	983
355	542	980
356	543	978
357	543	975
358	544	972
359	545	969
360	546	967
361	548	966
362	549	963
363	550	962
364	551	959
365	552	957
366	553	954
